,時速,分/1km,5kmで,4kmで,分/700m,ハーフで,フルで,,
,7km,8.6分,42.9分,34.3分,6分,3.01,6.03,,
,7.5km,8分,40分,32分,5.6分,2.81,5.63,,
,8km,7.5分,37.5分,30分,5.3分,2.64,5.28,,
,8.5km,7.1分,35.3分,28.2分,4.9分,2.48,4.96,,
,9km,6.7分,33.3分,26.7分,4.7分,2.34,4.69,,
,9.5km,6.3分,31.6分,25.3分,4.4分,2.22,4.44,,
,10km,6分,30分,24分,4.2分,2.11,4.22,,
,10.5km,5.7分,28.6分,22.9分,4分,2.01,4.02,,
,11km,5.5分,27.3分,21.8分,3.8分,1.92,3.84,,
,11.5km,5.2分,26.1分,20.9分,3.7分,1.83,3.67,,
サブ3.5,12km,5分,25分,20分,3.5分,1.76,3.52,,
,12.5km,4.8分,24分,19.2分,3.4分,1.69,3.38,,
,13km,4.6分,23.1分,18.5分,3.2分,1.62,3.25,,
,13.5km,4.4分,22.2分,17.8分,3.1分,1.56,3.13,,
サブ3,14km,4.3分,21.4分,17.1分,3分,1.51,3.01,,
,14.5km,4.1分,20.7分,16.6分,2.9分,1.46,2.91,,
,15km,4分,20分,16分,2.8分,1.41,2.81,,
,15.5km,3.9分,19.4分,15.5分,2.7分,1.36,2.72,,
,16km,3.8分,18.8分,15分,2.6分,1.32,2.64,,
,16.5km,3.6分,18.2分,14.5分,2.5分,1.28,2.56,,
,17km,3.5分,17.6分,14.1分,2.5分,1.24,2.48,,
,17.5km,3.4分,17.1分,13.7分,2.4分,1.21,2.41,,
,18km,3.3分,16.7分,13.3分,2.3分,1.17,2.34,,
,18.5km,3.2分,16.2分,13分,2.3分,1.14,2.28,,
,19km,3.2分,15.8分,12.6分,2.2分,1.11,2.22,,
,19.5km,3.1分,15.4分,12.3分,2.2分,1.08,2.16,,
,20km,3分,15分,12分,2.1分,1.06,2.11,,